4/3/25 19:33:0, Microphone: 176, Temp =  83.29, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35
4/3/25 19:33:47, Microphone: 29, Temp =  82.94, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.15, GyroZ =  0.28

4/3/25 19:33:48, Microphone: -27, Temp =  82.94, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.63

4/3/25 19:33:50, Microphone: -93, Temp =  82.96, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:51, Microphone: -15, Temp =  82.97, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:33:52, Microphone: 47, Temp =  82.96, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:54, Microphone: 29, Temp =  82.92, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:56, Microphone: 20, Temp =  82.91, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:57, Microphone: 28, Temp =  82.89, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.73, GyroZ =  0.42

4/3/25 19:33:58, Microphone: 80, Temp =  82.88, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.14, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:33:59, Microphone: 74, Temp =  82.96, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.21

4/3/25 19:34:1, Microphone: 10, Temp =  82.95, AccX =  -0.09, AccY =  -0.01, AccZ =  1.00, GyroX =  0.28, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:34:2, Microphone: -27, Temp =  82.85, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:34:3, Microphone: -33, Temp =  82.87, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.63

4/3/25 19:34:4, Microphone: 17, Temp =  82.95, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:34:6, Microphone: -32, Temp =  82.97, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:34:7, Microphone: -11, Temp =  82.96, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:34:8, Microphone: 21, Temp =  82.91, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:9, Microphone: 9, Temp =  82.85, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.35

